orig_header,header,count
אוכלוסייה סוף - סך הכל אלפים,אוכלוסייה סוף - סך הכל אלפים,1
אוכלוסייה ערבית (אחוז),אוכלוסייה ערבית (אחוז),1
אורך חוף מוכרז לרחצה במטרים (),אורך חוף מוכרז לרחצה במטרים (),1
אזור סלעי -אחוז משטח השיפוט,אזור סלעי -אחוז משטח השיפוט,1
"אזור סלעי-שטח בקמ""ר -","אזור סלעי-שטח בקמ""ר -",1
אזור,אזור,1
אחוז בני 0-17 באוכלוסייה בסוף,אחוז בני 0-17 באוכלוסייה בסוף,1
אחוז בני 0-4 באוכלוסייה בסוף,אחוז בני 0-4 באוכלוסייה בסוף,1
אחוז בני 10-14 באוכלוסייה בסוף,אחוז בני 10-14 באוכלוסייה בסוף,1
אחוז בני 14-10 באוכלוסייה בסוף,אחוז בני 14-10 באוכלוסייה בסוף,1
אחוז בני 15-19 באוכלוסייה בסוף,אחוז בני 15-19 באוכלוסייה בסוף,1
אחוז בני 17-0 באוכלוסייה בסוף,אחוז בני 17-0 באוכלוסייה בסוף,1
אחוז בני 19-15 באוכלוסייה בסוף,אחוז בני 19-15 באוכלוסייה בסוף,1
אחוז בני 20-29 באוכלוסייה בסוף,אחוז בני 20-29 באוכלוסייה בסוף,1
אחוז בני 29-20 באוכלוסייה בסוף,אחוז בני 29-20 באוכלוסייה בסוף,1
אחוז בני 30-44 באוכלוסייה בסוף,אחוז בני 30-44 באוכלוסייה בסוף,1
אחוז בני 4-0 באוכלוסייה בסוף,אחוז בני 4-0 באוכלוסייה בסוף,1
אחוז בני 44-30 באוכלוסייה בסוף,אחוז בני 44-30 באוכלוסייה בסוף,1
אחוז בני 45-59 באוכלוסייה בסוף,אחוז בני 45-59 באוכלוסייה בסוף,1
אחוז בני 5-9 באוכלוסייה בסוף,אחוז בני 5-9 באוכלוסייה בסוף,1
אחוז בני 59-45 באוכלוסייה בסוף,אחוז בני 59-45 באוכלוסייה בסוף,1
אחוז בני 60-64 באוכלוסייה בסוף,אחוז בני 60-64 באוכלוסייה בסוף,1
אחוז בני 64-60 באוכלוסייה בסוף,אחוז בני 64-60 באוכלוסייה בסוף,1
אחוז בני 65 ומעלה באוכלוסייה בסוף,אחוז בני 65 ומעלה באוכלוסייה בסוף,1
אחוז בני 75 ומעלה באוכלוסייה בסוף,אחוז בני 75 ומעלה באוכלוסייה בסוף,1
אחוז בני 9-5 באוכלוסייה בסוף,אחוז בני 9-5 באוכלוסייה בסוף,1
אחוז גידול האוכלוסייה בשנת לעומת,אחוז גידול האוכלוסייה שנת לעומת,2
אחוז גידול האוכלוסייה לעומת,אחוז גידול האוכלוסייה לעומת,1
אחוז גידול האוכלוסייה שנת לעומת,אחוז גידול האוכלוסייה שנת לעומת,2
אחוז גילאי 14-10 באוכלוסייה בסוף,אחוז גילאי 14-10 באוכלוסייה בסוף,1
אחוז גילאי 17-0 באוכלוסייה בסוף,אחוז גילאי 17-0 באוכלוסייה בסוף,1
אחוז גילאי 17-0 של עולים בהשתקעות ראשונה,אחוז גילאי 17-0 של עולים בהשתקעות ראשונה,1
אחוז גילאי 19-15 באוכלוסייה בסוף,אחוז גילאי 19-15 באוכלוסייה בסוף,1
אחוז גילאי 29-20 באוכלוסייה בסוף,אחוז גילאי 29-20 באוכלוסייה בסוף,1
אחוז גילאי 4-0 באוכלוסייה בסוף,אחוז גילאי 4-0 באוכלוסייה בסוף,1
אחוז גילאי 44-18 של עולים בהשתקעות ראשונה,אחוז גילאי 44-18 של עולים בהשתקעות ראשונה,1
אחוז גילאי 44-30 באוכלוסייה בסוף,אחוז גילאי 44-30 באוכלוסייה בסוף,1
אחוז גילאי 59-45 באוכלוסייה בסוף,אחוז גילאי 59-45 באוכלוסייה בסוף,1
אחוז גילאי 64-45 של עולים בהשתקעות ראשונה,אחוז גילאי 64-45 של עולים בהשתקעות ראשונה,1
אחוז גילאי 64-60 באוכלוסייה בסוף,אחוז גילאי 64-60 באוכלוסייה בסוף,1
אחוז גילאי 65 ומעלה באוכלוסייה בסוף,אחוז גילאי 65 ומעלה באוכלוסייה בסוף,1
אחוז גילאי 65 ומעלה של עולים בהשתקעות ראשונה,אחוז גילאי 65 ומעלה של עולים בהשתקעות ראשונה,1
אחוז גילאי 75 ומעלה באוכלוסייה בסוף,אחוז גילאי 75 ומעלה באוכלוסייה בסוף,1
אחוז גילאי 9-5 באוכלוסייה בסוף,אחוז גילאי 9-5 באוכלוסייה בסוף,1
אחוז גנים לאומיים משטח הרשות (),אחוז גנים לאומיים משטח הרשות (),1
"אחוז היהודים מסה""כ האוכלוסייה בסוף","אחוז היהודים מסה""כ האוכלוסייה בסוף",1
"אחוז המבוטחים בקופ""ח כללית מתוך סך כל המבוטחים","אחוז המבוטחים בקופ""ח כללית מתוך סך כל המבוטחים",1
"אחוז המבוטחים בקופ""ח לאומית מתוך סך כל המבוטחים","אחוז המבוטחים בקופ""ח לאומית מתוך סך כל המבוטחים",1
"אחוז המבוטחים בקופ""ח מאוחדת מתוך סך כל המבוטחים","אחוז המבוטחים בקופ""ח מאוחדת מתוך סך כל המבוטחים",1
"אחוז המבוטחים בקופ""ח מכבי מתוך סך כל המבוטחים","אחוז המבוטחים בקופ""ח מכבי מתוך סך כל המבוטחים",1
אחוז העצמאים המשתכרים עד מחצית השכר הממוצע ב-,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע ב-,1
אחוז השכירים המשתכרים עד שכר מינימום ב-,אחוז השכירים המשתכרים עד שכר מינימום ב-,1
אחוז השכירים עד שכר מינימום ב-,אחוז השכירים עד שכר מינימום ב-,1
"אחוז התושבים בני 20 ומעלה המרגישים ""בטוח"" ו""בטוח מאוד"" ללכת בחשכה באזור המגורים","אחוז התושבים בני 20 ומעלה המרגישים ""בטוח"" ו""בטוח מאוד"" ללכת בחשכה באזור המגורים",1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב ( - /),אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב ( /),1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב ( /),אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /09,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /09,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /11,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /11,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /12,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /12,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /13,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /13,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /14,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /14,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /15,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /15,1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב /,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,2
"אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תש""ע /10","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תש""ע /10",1
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,2
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב ( - /),אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,4
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב ( /),אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,4
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /09,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /09,1
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /11,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /11,1
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /12,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /12,1
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /13,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /13,1
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /14,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /14,1
