header,orig_header,count
/(א) סטיית התקן של הגבהים מעל פני הים/ערך,(א) סטיית התקן של הגבהים מעל פני הים/דירוג,1
/ציון תקן,(א) סטיית התקן של הגבהים מעל פני הים/ציון תקן,2
(א) סטיית התקן של הגבהים מעל פני הים/דירוג,"(ב) שיפוע ממוצע, במעלות/דירוג",2
/ציון תקן,"(ב) שיפוע ממוצע, במעלות/ציון תקן",2
-/פטירות תינוקות (ממוצע),"-/מספר מקרי סוכרת ממוצע לשנה/בעיריות ומועצות מקומיות המונות 10,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),-/מספר מקרי סוכרת ממוצע לשנה,18
-/פטירות תינוקות (ממוצע),-/מספר מקרי סכרת ממוצע לשנה,18
-/פטירות תינוקות (ממוצע),"-/מספר מקרי סרטן ממוצע לשנה, גברים/בעיריות ומועצות מקומיות המונות 10,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),"-/מספר מקרי סרטן ממוצע לשנה, גברים",18
-/פטירות תינוקות (ממוצע),"-/מספר מקרי סרטן ממוצע לשנה, נשים/בעיריות ומועצות מקומיות המונות 10,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),"-/מספר מקרי סרטן ממוצע לשנה, נשים",18
פטירות תינוקות (ממוצע -),-/פטירות תינוקות (ממוצע),1
ריבוי טבעי לאלף תושבים -,-/ריבוי טבעי לאלף תושבים,2
-/פטירות תינוקות (ממוצע),"-/שיעור מקרי סוכרת מתוקנן ל-1,000 תושבים/בעיריות ומועצות מקומיות המונות 10,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),"-/שיעור מקרי סוכרת מתוקנן ל-1,000 תושבים",18
-/פטירות תינוקות (ממוצע),"-/שיעור מקרי סכרת מתוקנן ל-1,000 תושבים",18
-/פטירות תינוקות (ממוצע),"-/שיעור סרטן מכל הסוגים מתוקנן ל-100,000 תושבים, גברים/בעיריות ומועצות מקומיות המונות 10,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),"-/שיעור סרטן מכל הסוגים מתוקנן ל-100,000 תושבים, גברים",18
-/פטירות תינוקות (ממוצע),"-/שיעור סרטן מכל הסוגים מתוקנן ל-100,000 תושבים, נשים/בעיריות ומועצות מקומיות המונות 10,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),"-/שיעור סרטן מכל הסוגים מתוקנן ל-100,000 תושבים, נשים",18
-/פטירות תינוקות (ממוצע),"-/שיעור פטירות מתוקנן ל-1,000 תושבים",18
-/פטירות תינוקות (ממוצע),"-/שיעור פטירות תינוקות ל-1,000 לידות חי",18
שיעור פטירות תינוקות לאלף לידות חי -,-/שיעור פטירות תינוקות לאלף לידות חי,1
-/פטירות תינוקות (ממוצע),"-/תוחלת חיים בלידה סך הכל/בערים המונות 50,000 תושבים ויותר",18
-/פטירות תינוקות (ממוצע),"-/תוחלת חיים בלידה סך הכל/ברשויות מעל 50,000 תושבים",18
/ערך מדד,/(א) סטיית התקן של הגבהים מעל פני הים/ערך,119
/ערך מדד,"/(ב) שיפוע ממוצע, במעלות/ערך",119
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,/16/אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,16
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,/16/אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,16
אחוז פחת המים מסך כל תקבולי המים,/16/אחוז פחת המים מסך כל תקבולי המים,4
"אחוז צריכת מים ביתית וכל צריכה אחרת מסה""כ צריכת המים","/16/אחוז צריכת מים ביתית וכל צריכה אחרת מסה""כ צריכת המים",4
"אחוז צריכת מים חקלאית מסה""כ צריכת המים","/16/אחוז צריכת מים חקלאית מסה""כ צריכת המים",4
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/16/אחוז צריכת מים מסה""כ צריכת מים ביתית/לבנייה",17
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/16/אחוז צריכת מים מסה""כ צריכת מים ביתית/לגינון ציבורי",17
"/מגורים/שטח בקמ""ר","/16/אחוז צריכת מים מסה""כ צריכת מים ביתית/למגורים",11
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/16/אחוז צריכת מים מסה""כ צריכת מים ביתית/למוסדות הרשות המקומית",17
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/16/אחוז צריכת מים מסה""כ צריכת מים ביתית/למסחר ומלאכה",17
חטיבות ביניים /,/16/בתי ספר/חטיבות ביניים,5
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/בתי ספר/יסודיים (כולל חינוך מיוחד),29
"נכנסים מיישובים אחרים/סה""כ","/16/בתי ספר/סה""כ",39
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/בתי ספר/על יסודיים,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/בתי ספר/תיכוניים,29
התחלת בנייה/מספר דירות,/16/גמר בנייה/מספר דירות,2
"יוני/התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים/שטח (אלפי מ""ר)","/16/גמר בנייה/שטח (אלפי מ""ר)",4
"התחלת בנייה/שטח למגורים (אלפי מ""ר)","/16/גמר בנייה/שטח למגורים (אלפי מ""ר)",2
"התחלת בנייה/שטח (אלפי מ""ר)",/16/התחלת בנייה/מספר דירות,4
"יוני/התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים/שטח (אלפי מ""ר)","/16/התחלת בנייה/שטח (אלפי מ""ר)",4
"התחלת בנייה/שטח (אלפי מ""ר)","/16/התחלת בנייה/שטח למגורים (אלפי מ""ר)",4
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/ילדים בגנים של משרד החינוך/גיל 3,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/ילדים בגנים של משרד החינוך/גיל 4,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/ילדים בגנים של משרד החינוך/גיל 5,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/ילדים בגנים של משרד החינוך/גיל 6,29
"נכנסים מיישובים אחרים/סה""כ","/16/ילדים בגנים של משרד החינוך/סה""כ",39
